transaction_id,items
85,rice|fish|item_B05|item_H01|sugar|item_J03|item_F05|item_B01
86,item_L01|bread|item_G04|item_Q05|item_S02|item_M05|item_F05
87,item_A03|item_O02|item_C02|item_H04|item_S02|cheese|item_G04|juice
88,pasta|item_R05|item_A05|item_F04|item_E03|item_P04
89,item_I02|item_R05|item_R04
90,item_R02|eggs|item_H04|banana|item_C05|tea|item_T03|item_J03|item_A01|item_L04
91,item_S04|item_N04|item_A01
92,item_K03|juice|item_C02|item_B01|item_G01|item_E02|item_H04
93,item_N03|item_C03|item_F01|item_T01|yogurt|item_J03|item_L02|item_K01|item_G05|sugar
94,item_O04|item_D04|item_L03
95,item_B04|cheese|item_P02|item_T02|item_K03|item_Q04
96,item_O04|item_C02|item_E05|bread|item_F03|item_F05|oil|item_R02
97,item_D01|item_M03|fish|juice|item_T02|item_D04|item_M04|item_K01|item_S03|item_G03
98,item_J03|onion|milk|item_K04|item_H02|item_B04|item_R03|yogurt
99,item_M01|item_I01|item_K03|item_Q04
100,item_R04|item_R05|item_H05|item_K01|item_E04|item_C04|item_K04|butter|item_S04
101,item_H04|item_E03|item_D02|item_D05|cheese|item_F02|item_E04|item_O05|item_M03
102,item_I02|item_O01|item_P01|item_K05|item_N05|salt|item_Q04
103,item_M04|item_K01|item_G03|item_O05|item_S04|item_T03|item_I03|item_T01|item_H05|item_N02
104,item_A02|item_T01|item_R04|item_R05
105,yogurt|item_T04|item_P05
106,tea|item_C05|item_S01|item_N05|item_A03
107,item_L05|chicken|item_K04|item_I01|item_B04|item_N01
108,item_O04|item_O05|item_F03|item_D04|item_E03|item_B02|orange|yogurt
109,item_C01|item_K03|item_P02|item_T01
110,item_H03|tomato|item_M01|item_C01|item_D02
111,eggs|item_R03|item_G02|tea|item_B02|item_Q01|item_F03|item_E03|item_C01
112,item_B01|item_P04|onion|item_A01
113,item_F03|item_D04|item_O05|item_H02|item_A05
114,item_E03|item_A02|item_B05|item_H03|item_K05|item_O05|item_G02
115,item_F04|item_S01|item_F05|item_E04|item_M02|item_O02
116,tomato|item_I02|item_B04|item_Q04|garlic|item_C05|item_S02|item_G02|item_D05|item_R01
117,item_P02|banana|pasta|item_O05|apple|item_D02|item_M01
118,bread|item_A01|item_J04|yogurt|item_E01|onion|item_D04|item_C01|item_D03|item_C05
119,item_C02|fish|garlic
120,item_G05|fish|item_Q04|item_G04|yogurt|banana|item_N01
121,item_N04|item_C03|item_P01|chips|eggs|item_C01
122,item_Q03|item_G04|item_Q01|cheese|item_P05|item_F02|item_J04|item_K04|item_G02|item_L02
123,item_M02|item_J02|item_A04|item_Q02|item_T01
124,item_M05|item_I03|item_N05|item_C05|fish|item_A02|salt
125,item_O05|item_B01|item_I04
126,item_I05|item_A04|banana|item_K04|item_A05|item_M02|item_D02|juice|item_J01
127,item_J05|item_F03|oil|fish|item_Q04|item_Q03|eggs|apple|item_I05|item_B01
128,item_S03|item_A05|tea|item_G04|milk
129,item_O01|item_E05|bread|item_I02|fish|item_Q03|item_F03|item_F04|item_O03|item_F02
130,chicken|item_K04|cheese|item_Q03
131,item_E04|item_N04|item_S05|item_L03|item_F03|item_Q02|item_K03|orange
132,item_T04|oil|item_D02|item_K02|item_N02|item_N01|item_E01
133,item_B01|item_M04|item_P01|item_P05|item_K05
134,item_A02|item_O03|bread|item_J05|oil
135,banana|item_L02|garlic|item_M04|item_D05|item_D02|coffee
136,item_E04|item_C02|item_H04|item_K01|item_C05
137,item_Q02|item_B02|item_B03|apple|item_S03|item_Q01
138,item_B05|item_Q02|item_B04|item_I03|item_O03
139,item_C02|item_J02|butter|item_E03|tea
140,item_S01|item_O05|item_E04|item_K03|item_Q05|item_P02|sugar|item_D02|tomato|item_A03
141,item_J02|item_P03|item_K04|item_D05|item_J01|tomato|item_P02|item_A02|butter
142,beef|item_O01|item_H03|item_Q05|item_I05|item_N04|item_A05
143,item_E05|item_R05|item_K03|item_M05|item_J02
144,item_L01|item_B03|item_G03|item_P05|item_E04|item_C04|item_D04|item_T01|apple|item_F03
145,item_R04|item_H01|item_C01|item_J05
146,item_Q03|milk|item_H01|beef|item_L03
147,item_N03|item_P04|item_E01|item_D05|item_A01
148,item_I05|item_I04|tomato
149,item_L05|item_F01|item_R05|item_R03|item_A03|item_K02|item_D03
150,chicken|item_I02|tomato|item_S05|garlic|item_E01|item_S03|item_H02|beef
151,item_C05|item_S01|item_D04|item_O05|item_B05|eggs|item_F02|item_P05|coffee|item_D01
152,item_T03|item_G04|item_K01
153,item_N05|item_L05|item_O05|item_B03|item_K05|item_D03|item_T05|oil
154,item_S02|item_G05|item_G01|item_E03|item_G02|fish|item_L04|item_L02|onion|item_R02
155,item_M03|item_A01|item_K04|item_H02
156,rice|item_G03|sugar|cheese|item_S01|oil|item_Q05
157,item_L04|item_P01|item_A03|item_I01|beef|item_B05
158,item_D04|beef|item_G03|item_B05|item_M04
159,yogurt|item_C02|item_K05|item_K03|item_L01|item_T01|item_I03|coffee
160,item_K05|pasta|tomato|item_G03|item_R04|tea|item_S04|item_B05
161,item_G04|tea|item_N03|item_S02|item_B02|item_B03
162,item_A02|item_A04|item_H03|item_D02|item_S04|item_B04
163,item_C03|item_R04|item_R03|item_D03|item_J03
164,milk|item_T03|item_M01
165,item_F05|salt|item_P04|item_F02|item_M03|item_J02
166,item_F05|item_G05|pasta|item_H01|juice
167,item_H02|item_D05|item_I04|item_D02|item_F05|item_K01|item_M03
168,item_I01|juice|item_R02|item_A01
169,item_O01|item_M05|beef|item_D04|item_L04|item_L01|coffee|item_T01
170,item_E03|item_Q02|item_C04|cheese|item_G03
171,item_M03|item_M04|item_F01|item_Q04|item_O05|item_D01|sugar|garlic|item_E05|item_M01
172,garlic|apple|item_D04|item_J02|item_I01|tomato|item_B04|item_S01|banana
173,item_M01|item_H02|sugar|item_C04|item_D02|cheese
174,tea|item_G03|item_P04|garlic|item_P01|item_G04|item_D02|yogurt
175,chips|eggs|yogurt|item_T01|sugar|item_D04|item_B05|item_K04|item_C03
176,item_L03|item_T03|oil|item_B04|item_D04|onion|item_S03|sugar
177,item_B01|oil|banana|item_R01
178,item_P03|item_H05|item_K01|item_Q02|item_Q03|item_F01
179,item_N04|item_D05|item_M04|item_N05|item_L02|item_Q05|item_Q03|item_A03|coffee
180,item_C01|item_R05|item_K02|item_Q03|item_G04|item_T01|item_J02
181,item_R03|tomato|banana
182,tea|item_G03|item_S05|item_S02|item_S01|item_S04
183,item_C05|item_E05|item_Q04|item_N01|coffee
184,item_R05|item_J02|sugar|item_N05
185,item_J04|item_T05|item_F01|item_R03|item_P04|item_L03|item_O03
186,pasta|cheese|item_T05|item_P04|item_A02|item_B04|beef|item_Q03|onion|item_B05
187,item_S04|item_O04|item_O05|item_O02|onion|item_G04|item_D04|item_N01|item_E01|item_M03
188,item_T04|item_N01|sugar
189,item_S01|item_G05|item_J01|item_N03|item_R03|item_B02
190,item_C01|item_D04|item_K04|item_I02|item_T03|item_O03|item_I05|item_P05|item_Q01|cheese
191,item_T05|item_H03|item_B04
192,item_T05|item_J05|item_I02
193,item_L05|item_E01|item_C02|item_G01|item_T03
194,item_D02|item_A01|item_G05|item_C05|cheese|item_F03|tea|item_E02|item_T05
195,item_D04|item_H01|salt|item_Q05|item_B01
196,item_J05|item_Q02|item_D03|item_O01|item_M02|item_H03|fish|item_I04|item_I01
197,item_D01|item_D04|item_T02|item_A05
198,eggs|item_A04|item_P04|tea|item_R03|item_P02|item_Q03|item_D02
199,salt|item_P01|item_E04|item_P02|item_P04|item_I02
200,item_F01|item_O01|item_B04
201,item_A04|cheese|item_G04|item_F01|eggs|item_G02|item_B04
202,item_L01|fish|apple|item_H02|banana|item_J02|item_R02|item_F04
203,item_J02|item_L03|item_T05|item_Q01|item_I04|item_H02|item_B01|item_B05|item_C03|item_G01
204,item_H02|item_N02|item_L02|item_A01|banana|item_B01|item_C05
205,item_R02|coffee|item_N04|item_P04|item_F05|item_G05
206,item_S05|item_T04|item_F03|item_S03|item_D01
207,item_P04|item_T01|item_A02|pasta|butter|item_A05|item_S04
208,item_T01|item_B01|item_G05|item_O02|item_F01|item_P05|item_D01|item_A04|item_K01|item_P03
209,apple|item_E02|item_O04|item_I03|item_C01|item_R03|item_Q04|item_K04|item_J01
210,item_I05|item_P03|item_T05|milk|item_C01|item_Q02|item_N02|item_B03|butter|item_E02
211,item_E02|item_A01|item_B01|item_O05|eggs
212,item_D01|bread|item_N01|item_K01|item_E03|item_G05|item_Q05|coffee
213,item_L04|item_H03|cheese|item_N02|item_E03|item_C02|oil|item_G03
214,item_F01|item_T04|garlic|item_E03|item_Q01|item_N05|item_N02|item_J05
215,eggs|apple|coffee|oil|item_A02|item_H01|item_H04|tea|orange
216,item_A02|item_T05|item_J02|item_Q03|cheese|item_P04|item_E05|item_R05|item_D01
217,bread|item_N05|item_J03|item_A04|butter
218,chicken|item_R01|item_L04|item_B01|item_O04
219,item_T02|item_G02|item_I03
220,item_G05|item_P01|garlic|item_J02
221,item_R01|banana|item_P04
222,banana|tea|item_E01
223,item_R03|item_A02|item_G05|item_S04|item_T04
224,item_P05|item_A05|item_Q01|item_H05|item_K03|item_S03|item_I01|item_G03|item_L03
225,item_B04|tomato|item_N04|item_K02|item_C05|item_I03
226,item_F04|item_L02|item_G05|eggs|item_J04|chicken
227,item_P03|item_M01|chips|oil|item_I04|item_C01|item_Q03
228,chips|item_S05|item_D02|item_P05|item_G03|tomato|item_C04
229,item_K01|item_M02|item_F02
230,item_T02|item_O01|item_L01
231,cheese|item_R01|yogurt|item_A01|item_N02
232,item_F02|fish|item_N02|item_R05|item_K04|item_C04|item_S05|milk|item_D03
233,item_R04|item_H04|cheese|item_N01|yogurt|item_H03|item_P01|item_D02|coffee|item_S02
234,item_S04|item_H05|item_L05|item_C05|item_E03|item_N03|item_M05|item_R01
235,item_Q04|item_E05|item_E03|juice|item_G05
236,item_N05|fish|beef|item_E04|item_F04|item_O03|item_G02
237,item_F03|item_S02|item_M01|item_L02|item_O03|item_O05
238,item_O03|item_I02|item_G01|item_H03|item_E04|item_P02|item_P03|item_D04|milk|item_J01
239,garlic|item_J01|item_H04|item_L02|item_J02|item_L01|item_O02|item_Q03
240,item_J01|item_I01|item_C04|item_F02
241,item_T01|item_D03|coffee|yogurt|item_R03|item_A03|item_D01|item_H05|item_I05|item_E04
242,item_R01|item_A02|item_I03|garlic|item_O01|item_P02|item_L02|item_G04|chips
243,item_Q03|item_I05|apple|item_L01|item_D02|item_A01
244,item_J03|item_S03|item_P02|item_D05|item_J02|item_O01|cheese|item_R04
245,juice|item_J02|item_O01|tea|item_D01|item_N03
246,item_M02|item_R03|item_A02|item_J02|juice|item_S04
247,item_L03|item_B05|item_E02|item_C03|item_A04
248,item_T03|apple|item_K04|item_F03|item_M01
249,item_M04|item_E05|tea|item_T02|item_D02|item_C05|butter|item_S01|item_C02
250,item_C04|item_R03|item_E02|item_K04|item_P02
251,item_Q01|item_M01|item_O01|item_K04|item_L01|butter|beef|item_G02|item_Q03|eggs
252,item_S04|item_L05|item_B02|item_A05|oil|rice
253,item_C02|item_R04|item_I05|item_I02|chips|item_K03|item_A04|item_O01
254,item_R03|item_R01|item_P03|item_I02|tomato
255,rice|item_D01|item_M05
256,item_F03|item_L04|item_F04|item_J01|item_M01|item_P01|item_D01
257,item_C01|item_R03|item_S05
258,item_A04|item_O05|beef|item_Q01|fish|item_L02|item_E02|item_I03|item_N01
259,item_R03|yogurt|item_E05|item_I04|item_L05|item_P01|onion|bread|item_E04
260,item_S02|item_B02|item_J03|eggs|item_L01|garlic|item_H03|item_L05
261,yogurt|item_T01|item_T03|item_M03|item_J05|item_F01|item_T04|item_C05
262,item_E02|item_E05|tea|coffee|item_B03|item_Q05|item_O01
263,item_O01|item_D02|item_H01|item_A04|item_I04|item_R03|item_I02|item_K04|item_F02
264,item_B03|item_L01|item_O05
265,item_F05|item_C03|oil|item_M05|item_G05|item_E05
266,item_R04|item_I02|item_O04|item_F04
267,item_F03|item_I01|cheese|item_L04|item_D04|sugar
268,item_R03|item_G04|item_C02
269,item_F01|item_P01|salt|item_H01|item_O04|sugar|fish|item_N01|chicken|item_D01
270,item_L05|item_B01|item_G02|item_F02|item_H01|item_T01|item_L02|item_F05
271,item_O03|pasta|item_F02|item_P03|item_S03|eggs|item_R04
272,oil|item_T03|item_G05|item_P03|item_R03|item_T02|item_B04|item_D04
273,item_F02|item_H05|item_K02|item_C04|item_S04|item_E04|item_P02|item_O02|item_D04|item_M03
274,fish|item_E01|item_P01|item_B02|salt|item_C03|item_H03|item_Q05|item_D01|item_D04
275,item_Q02|item_I03|item_J01|item_B04|item_A01|item_B05
276,item_B02|item_H01|milk|item_F01|eggs|item_P04|item_D05
277,item_J05|item_R03|item_Q02|item_K05|item_E01
278,item_G03|item_R05|item_R03|item_B02|item_S04
279,item_A02|item_C03|oil|item_O01|item_I05
280,item_B02|item_M05|item_O04|item_P05|item_A04|item_O02|item_M04|chicken
281,banana|item_B02|item_F04|item_E04
282,item_E04|item_I03|juice|item_J03|banana
283,item_M04|item_A01|item_G05|fish|item_S01
284,item_R02|item_K02|item_T05|item_K01|item_Q04
285,coffee|item_S04|item_K01|item_N02|item_E02
286,item_A05|item_C05|item_G04|item_K04|item_L03
287,item_L05|item_D03|item_G04|item_O02|item_I04|item_S02
288,tomato|item_K01|item_T02|item_C04|item_R02|item_R04
289,item_J05|item_C05|item_Q01|item_Q04|item_H03|item_A05|item_I02|item_T04|item_K04|item_J02
290,item_B01|item_C03|bread|item_A04|yogurt|item_N05|cheese
291,item_R04|item_G04|item_A03|banana
292,item_B05|item_F05|item_E02|item_J04|item_N02|item_H04|item_A03|milk|item_D01
293,item_O05|item_F01|item_E02|orange|item_F03
294,item_B04|item_M05|item_C04
295,item_O03|item_I01|item_I02|item_K03|item_A01|item_G02|item_F01|eggs
296,item_M04|onion|item_J02|item_O05|milk|item_H02|item_I05|item_M03|chicken
297,item_O02|item_A04|item_T02|item_N04|yogurt|item_S03|item_D04|item_M02|item_R01
298,item_F02|item_D03|item_C01|item_P05|item_H03|item_G01|item_E01|item_B01
299,item_N05|item_J05|item_O01|item_C01|item_H04
300,item_S01|item_J02|item_O03|item_E01|item_E05
301,item_N04|item_G04|oil|item_F04|item_M03|item_P03|item_R02|item_C02
302,item_R01|item_J04|item_G04
303,item_G03|item_I03|item_F05|item_T01|item_P01|item_Q03|milk|item_H05|item_P03
304,item_F01|bread|item_M01|garlic|item_M02|item_N05|item_H04|item_J05|item_A04|item_K03
305,item_J01|chicken|cheese
306,item_K02|item_S03|beef|item_F03|item_K05|item_K01|item_H01|item_O05
307,item_G03|item_E01|item_I02|item_C04
308,item_B05|item_A02|item_T01|item_D05|item_I03|item_N02|item_H05|item_N04|coffee
309,item_I03|item_A01|item_T03|item_O01|item_F05|item_Q01|item_S01
310,coffee|item_A03|item_M03|item_I04|item_F01|item_C05|item_H05|item_I02|item_R03
311,item_S01|item_C02|item_I05|item_F05|item_T01|item_I02|item_I03
312,item_S01|item_P03|item_T02|item_J02|item_Q04|beef|item_E04|item_A01|item_S03
313,item_A04|item_E04|item_H04|item_H03|pasta
314,item_A03|item_O01|item_T04|item_Q01|item_O03|item_O02
315,item_S03|item_M05|tomato|item_L01
316,item_O04|item_P01|item_S03|fish|item_B05
317,item_T01|item_A05|item_S01
318,item_E03|item_G01|item_K01|item_E04|milk|item_H02|item_B03
319,item_Q03|item_K03|item_E04|item_O04|item_M03|item_Q05|item_A05|item_E02
320,item_A05|item_I01|item_E02|item_N02|item_M01|item_T02|item_R05|oil|item_C03
321,oil|item_F01|item_O05|orange|item_G04
322,item_T02|item_F02|item_T01|item_L05|item_D01|item_S03|item_B01|chips|item_T05
323,bread|item_J03|item_I03|item_E04|butter|item_H04
324,item_A04|item_D01|tea|item_O02|juice|item_E03|item_P05|milk
325,item_H03|item_K04|item_J05|item_H05|item_F05
326,item_G03|tea|item_F05|item_N01|item_A02|fish|rice|item_M04|item_L05|item_P05
327,item_D04|pasta|item_L02|item_C01|coffee|item_M05|item_S04|butter|item_B03|item_S01
328,butter|item_F04|item_P02
329,item_I02|item_K05|item_H01|oil|item_B03
330,item_F04|item_E01|item_I04
331,item_I05|item_D05|item_H02|salt|item_E05|orange|item_R05|item_P04|item_N04
332,item_H04|item_F04|item_C03|item_Q01|item_E05|garlic|item_H05
333,item_R02|item_L04|item_B02|item_S01|tomato|item_J04
334,item_J01|item_H03|item_K01|item_Q02|item_M05|item_L05
335,item_L01|orange|item_D02|item_K02|item_C02
336,item_S02|item_P04|item_F04
337,item_L04|item_R02|item_R03|item_O05|item_S04|item_K04|banana|item_L02|fish|salt
338,item_P05|item_L02|fish|item_G03|item_B02|item_O05|item_I03|pasta
339,item_H01|item_T01|item_O03|rice|salt|item_I01
340,item_A04|item_K02|pasta|item_I01|item_P01|item_H05|item_R03
341,beef|tea|item_T05|coffee|apple|item_N01|item_Q02|item_K05|item_Q05|item_R01
342,item_C04|item_A01|item_D03|item_E02|item_J03|item_N01|item_G03|garlic
343,milk|item_O05|item_F04|item_R04
344,item_K03|milk|item_Q04
345,garlic|item_A05|item_M03|item_N03|item_I03
346,item_C05|item_L04|item_H05|item_E03|item_P03|item_A05|item_B01|item_S02|item_R05
347,item_M05|item_F03|item_R01|item_N01|item_L02
348,item_R03|item_K01|item_S05|onion|item_K04
349,fish|juice|item_P03|item_K03|tea|item_F03
350,item_O02|item_M03|item_G02|tea|item_P01|item_R03|item_T02|item_G03|item_T03
351,item_H02|item_H05|item_D05|oil
352,item_K03|item_O04|item_C01|item_P03|milk|item_S05|item_R02|item_P04|garlic|item_M05
353,item_M02|item_N04|item_E03|item_D04|fish|item_C04|item_I01|item_S03|item_O03|item_G03
354,tea|item_A05|item_C01|item_H04|item_N03|item_C03|item_M03|milk|item_F05|item_G02
355,item_I03|item_T02|yogurt
356,onion|item_B05|oil|item_K04|item_T04
357,item_H01|item_A02|item_D04|item_I02|item_E02|item_T02
358,item_J05|item_G02|item_F03
359,item_Q04|chips|item_C05|tomato|item_A04|item_M05|item_H01
360,item_M04|item_I03|item_J02|item_M05|item_F02|item_R01|item_H04
361,item_G03|item_C01|item_J02|item_F01|item_C02|salt|item_B02|item_Q04
362,chips|item_G01|item_F01|item_A03
363,item_R02|item_C03|item_I04|item_D01|item_H04|item_L05|item_J02
364,item_A05|item_N05|item_E04|item_S05|item_F04|item_D02
365,item_C04|item_O03|item_T02|item_E01|item_I04|item_B02|item_D01|chips|item_O01|item_L01
366,item_E05|item_S04|tea|pasta
367,item_J02|item_P01|item_J03
368,item_G01|bread|milk|item_P05|item_B05
369,item_O05|onion|item_S03|item_G03|item_N05|item_I02|item_H02|item_D04
370,item_G05|item_N02|item_H04
371,item_N02|item_J03|item_M03|item_B02|item_H02|item_K05|rice|eggs|item_O05|chicken
372,beef|item_B03|item_H04
373,pasta|item_S01|item_R04|item_D04|item_A02|item_A05|item_I01|item_G02
374,item_S01|item_E02|item_O04|item_R04|item_L02|rice
375,item_G03|item_R05|item_I01|item_L04|item_J04|salt|item_S05|item_G01|item_B05|item_O02
376,item_G05|item_F04|item_I03|item_C02
377,item_G04|item_N01|item_H04|item_M03|item_Q03|item_L01|sugar|tea|item_M04
378,rice|eggs|item_S04
379,item_I01|apple|item_Q04|item_B04|item_M02|item_H01|item_T03
380,item_N05|item_S03|item_I01|eggs|item_R03|item_T05|item_S01|item_P01
381,item_E01|item_B04|onion|banana|item_R05|item_C02|pasta|item_A02|item_D03|item_J04
382,item_H04|item_R04|item_Q04|item_O05|item_N05
383,item_I03|item_N04|item_F01
384,item_L02|item_E03|item_O02|tomato
385,orange|tomato|item_J05
386,item_Q02|item_M05|onion
387,item_E03|item_K04|item_T02|item_Q02
388,item_P03|item_K04|item_S04|item_R03
389,item_N05|item_A01|tea|item_D03|salt|item_L03|apple|item_Q01|item_J05
390,item_A01|item_B02|bread|item_J04
391,item_F02|item_B03|item_D02|item_N04
392,tea|banana|item_G02|item_R04|item_N01|item_E02|item_L05|item_Q02
393,cheese|orange|item_K04
394,item_P03|beef|item_E03|yogurt|item_T02|item_L01
395,item_R04|item_P01|chicken|item_D03|item_D01
396,item_H03|item_J03|item_Q01|item_S03|item_D04|cheese|item_R03|oil|item_K03|item_N04
397,item_L05|item_G05|item_C01|item_I03|item_O04|item_M01|item_J04|item_I01|item_P03|item_L01
398,item_R01|item_G05|item_M05|item_S02|item_L02|item_E02|item_M04
399,item_E05|chips|item_R04|cheese|item_K01|item_O01|item_L03|item_A03|item_B01|item_I02
400,item_L03|item_K05|item_K01|item_B03|item_C03|item_B05|beef|item_N01|item_S04|item_T03
401,item_L05|item_O03|item_I01|item_T02|fish|item_T01|item_N01
402,item_C04|orange|item_N05|item_P03
403,item_K01|item_L01|item_N04
404,apple|item_L03|item_O04
405,item_P05|item_M02|item_F03|item_M03|item_I05|item_J05|item_E05|item_M04|tea|item_F05
406,item_T01|item_L02|item_P03|item_O02
407,item_O01|sugar|item_D05
408,item_E01|item_J03|item_M02|item_D02|item_R04|item_H01|garlic|item_O05
409,item_O02|tomato|item_F04
410,item_L02|item_J01|apple|item_A02
411,item_H01|item_B03|item_M01|item_H05|sugar|orange|item_S02
412,item_F05|item_A03|item_F03|item_I01|item_F01|item_M05|item_R01|item_E05|item_Q01|item_B04
413,item_B01|pasta|item_Q02
414,item_M01|item_C05|item_R02|item_Q05|item_T03|item_B03|item_P02
415,cheese|item_R04|rice|item_G03|item_C05|item_B04|item_A02|item_J04
416,item_S01|item_S04|butter|item_B04|item_T04|item_Q04
417,item_G05|item_F04|fish|item_I02|item_Q04|item_N05|item_R02|item_H02|sugar
418,item_D02|item_P04|item_H02|apple|item_I02|item_N02|item_A03
419,item_A03|item_K01|item_L03|item_G02|orange
420,sugar|chicken|item_O01|item_L03|item_B04|item_S02|item_T01
421,item_P03|item_M04|item_H05|item_N02|item_Q01|item_M03|butter
422,salt|item_C01|item_F03|item_Q02|item_K01
